Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080
Average Yield,,,,,,,,,,,,10.01%,10.90%,12.68%,12.31%,12.52%,12.97%,12.50%,12.81%,12.50%,12.70%,10.09%,10.52%,10.51%,10.73%,9.22%,9.83%,9.74%,10.06%,8.43%,8.39%,8.39%,8.48%,7.26%,7.56%,7.68%,,7.43%,7.72%,8.02%,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Fund,,,,,,,,,,,,,7.36%,8.77%,8.78%,8.80%,9.06%,9.99%,9.48%,9.10%,8.88%,6.72%,6.57%,6.40%,6.34%,5.89%,5.74%,5.57%,5.40%,4.68%,4.71%,4.65%,4.62%,4.24%,4.10%,3.92%,5.40%,3.95%,4.16%,4.80%,3.84%,,7.28%,7.49%,,7.20%,7.42%,,,,,,,,,,,,,,,,,,,,,
Net Interest Spread,,,,,,,,,,,,2.30%,2.62%,2.85%,3.53%,3.72%,3.50%,2.38%,3.33%,3.40%,3.52%,3.37%,3.95%,4.11%,4.39%,3.33%,4.09%,4.17%,4.65%,3.74%,3.68%,4.78%,4.35%,3.48%,4.01%,4.26%,3.37%,3.90%,4.04%,3.79%,4.37%,,3.80%,3.68%,,4.77%,,,,,,,,,,,,,,,,,,,,,,
Credit to Deposit Ratio ,,,,,,,,,,,,85.53%,,,,,,,,,,,,77.26%,,76.46%,75.40%,75.28%,,76.25%,77.83%,78.35%,,78.84%,77.50%,78.18%,76.71%,78.30%,77.92%,75.09%,77.55%,,78.33%,,,79.47%,78.77%,,,,,,,,,,,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earning Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37,25.32,,,,,,,,,,,,,,,,,,,,,
Market Value Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Earning Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquidity (CRR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
